"Name","Season","Team","Salary (millions)"
"Kevin Garnett",1996,"MIN",1.62
"Kevin Garnett",1997,"MIN",1.67
"Kevin Garnett",1998,"MIN",2.11
"Kevin Garnett",1999,"MIN",14
"Kevin Garnett",2000,"MIN",16.81
"Kevin Garnett",2001,"MIN",19.61
"Kevin Garnett",2002,"MIN",22.4
"Kevin Garnett",2003,"MIN",25.2
"Kevin Garnett",2004,"MIN",28
"Kevin Garnett",2005,"MIN",16
"Kevin Garnett",2006,"MIN",18
"Kevin Garnett",2007,"MIN",21
"Kevin Garnett",2008,"BOS",23.75
"Kevin Garnett",2009,"BOS",24.75
"Kevin Garnett",2010,"BOS",16.4
"Kevin Garnett",2011,"BOS",18.8
"Kevin Garnett",2012,"BOS",21.25
"Kevin Garnett",2013,"BOS",11.57
"Kevin Garnett",2014,"BRK",12.44
